,main_cat,cat,sub-cat,full_sub_cat_link
56,Second Hand,accessories,glasses,https://remixshop.com/bg/secondhand/accessories/glasses
57,Second Hand,accessories,gloves,https://remixshop.com/bg/secondhand/accessories/gloves
58,Second Hand,accessories,watches,https://remixshop.com/bg/secondhand/accessories/watches
59,Second Hand,accessories,scarfs,https://remixshop.com/bg/secondhand/accessories/scarfs
60,Second Hand,accessories,hats,https://remixshop.com/bg/secondhand/accessories/hats
61,Second Hand,shoes,womens-shoes,https://remixshop.com/bg/secondhand/shoes/womens-shoes
62,Second Hand,shoes,kids-shoes,https://remixshop.com/bg/secondhand/shoes/kids-shoes
63,Second Hand,shoes,mens-shoes,https://remixshop.com/bg/secondhand/shoes/mens-shoes
64,Second Hand,child-clothes,swimwear,https://remixshop.com/bg/secondhand/child-clothes/swimwear
65,Second Hand,child-clothes,underwear,https://remixshop.com/bg/secondhand/child-clothes/underwear
66,Second Hand,child-clothes,tops,https://remixshop.com/bg/secondhand/child-clothes/tops
67,Second Hand,child-clothes,outerwear,https://remixshop.com/bg/secondhand/child-clothes/outerwear
68,Second Hand,child-clothes,jumpsuits,https://remixshop.com/bg/secondhand/child-clothes/jumpsuits
69,Second Hand,child-clothes,jeans,https://remixshop.com/bg/secondhand/child-clothes/jeans
70,Second Hand,child-clothes,vests,https://remixshop.com/bg/secondhand/child-clothes/vests
71,Second Hand,child-clothes,cardigans,https://remixshop.com/bg/secondhand/child-clothes/cardigans
72,Second Hand,child-clothes,sets,https://remixshop.com/bg/secondhand/child-clothes/sets
73,Second Hand,child-clothes,shorts,https://remixshop.com/bg/secondhand/child-clothes/shorts
74,Second Hand,child-clothes,trousers,https://remixshop.com/bg/secondhand/child-clothes/trousers
75,Second Hand,child-clothes,skirts-and-dresses,https://remixshop.com/bg/secondhand/child-clothes/skirts-and-dresses
76,Second Hand,child-clothes,sweaters,https://remixshop.com/bg/secondhand/child-clothes/sweaters
77,Second Hand,child-clothes,shirts,https://remixshop.com/bg/secondhand/child-clothes/shirts
78,Second Hand,child-clothes,sports-clothing,https://remixshop.com/bg/secondhand/child-clothes/sports-clothing
79,Second Hand,child-clothes,sweatshirts,https://remixshop.com/bg/secondhand/child-clothes/sweatshirts
80,Second Hand,child-clothes,t-shirts,https://remixshop.com/bg/secondhand/child-clothes/t-shirts
81,Second Hand,child-clothes,top,https://remixshop.com/bg/secondhand/child-clothes/top
82,Second Hand,child-clothes,tunics,https://remixshop.com/bg/secondhand/child-clothes/tunics
83,Second Hand,child-clothes,socks-and-tights,https://remixshop.com/bg/secondhand/child-clothes/socks-and-tights
0,Next season,womens-clothes,sweatpants,https://remixshop.com/bg/pre/womens-clothes/sweatpants
1,Next season,womens-clothes,swimwear,https://remixshop.com/bg/pre/womens-clothes/swimwear
2,Next season,womens-clothes,underwear,https://remixshop.com/bg/pre/womens-clothes/underwear
3,Next season,womens-clothes,tops,https://remixshop.com/bg/pre/womens-clothes/tops
4,Next season,womens-clothes,boleros-and-ponchos,https://remixshop.com/bg/pre/womens-clothes/boleros-and-ponchos
5,Next season,womens-clothes,jumpsuits,https://remixshop.com/bg/pre/womens-clothes/jumpsuits
6,Next season,womens-clothes,jeans,https://remixshop.com/bg/pre/womens-clothes/jeans
7,Next season,womens-clothes,vests,https://remixshop.com/bg/pre/womens-clothes/vests
8,Next season,womens-clothes,cardigans,https://remixshop.com/bg/pre/womens-clothes/cardigans
9,Next season,womens-clothes,leggings,https://remixshop.com/bg/pre/womens-clothes/leggings
10,Next season,womens-clothes,leather-jackets,https://remixshop.com/bg/pre/womens-clothes/leather-jackets
11,Next season,womens-clothes,suits,https://remixshop.com/bg/pre/womens-clothes/suits
12,Next season,womens-clothes,shorts,https://remixshop.com/bg/pre/womens-clothes/shorts
13,Next season,womens-clothes,coats,https://remixshop.com/bg/pre/womens-clothes/coats
14,Next season,womens-clothes,trousers,https://remixshop.com/bg/pre/womens-clothes/trousers
15,Next season,womens-clothes,skirts,https://remixshop.com/bg/pre/womens-clothes/skirts
16,Next season,womens-clothes,sweaters,https://remixshop.com/bg/pre/womens-clothes/sweaters
17,Next season,womens-clothes,shirts,https://remixshop.com/bg/pre/womens-clothes/shirts
18,Next season,womens-clothes,dresses,https://remixshop.com/bg/pre/womens-clothes/dresses
19,Next season,womens-clothes,blazers,https://remixshop.com/bg/pre/womens-clothes/blazers
20,Next season,womens-clothes,sports-clothing,https://remixshop.com/bg/pre/womens-clothes/sports-clothing
21,Next season,womens-clothes,sweatshirts,https://remixshop.com/bg/pre/womens-clothes/sweatshirts
22,Next season,womens-clothes,t-shirts,https://remixshop.com/bg/pre/womens-clothes/t-shirts
23,Next season,womens-clothes,tunics,https://remixshop.com/bg/pre/womens-clothes/tunics
24,Next season,womens-clothes,socks-and-tights,https://remixshop.com/bg/pre/womens-clothes/socks-and-tights
25,Next season,womens-clothes,jackets,https://remixshop.com/bg/pre/womens-clothes/jackets
26,Next season,mens-clothes,sweatpants,https://remixshop.com/bg/pre/mens-clothes/sweatpants
27,Next season,mens-clothes,swimwear,https://remixshop.com/bg/pre/mens-clothes/swimwear
28,Next season,mens-clothes,underwear,https://remixshop.com/bg/pre/mens-clothes/underwear
29,Next season,mens-clothes,tops,https://remixshop.com/bg/pre/mens-clothes/tops
30,Next season,mens-clothes,jumpsuits,https://remixshop.com/bg/pre/mens-clothes/jumpsuits
31,Next season,mens-clothes,jeans,https://remixshop.com/bg/pre/mens-clothes/jeans
32,Next season,mens-clothes,vests,https://remixshop.com/bg/pre/mens-clothes/vests
33,Next season,mens-clothes,cardigans,https://remixshop.com/bg/pre/mens-clothes/cardigans
34,Next season,mens-clothes,leggings,https://remixshop.com/bg/pre/mens-clothes/leggings
35,Next season,mens-clothes,leather-jackets,https://remixshop.com/bg/pre/mens-clothes/leather-jackets
36,Next season,mens-clothes,suits,https://remixshop.com/bg/pre/mens-clothes/suits
37,Next season,mens-clothes,shorts,https://remixshop.com/bg/pre/mens-clothes/shorts
